ya2;[i̯ɑ];;[sound:ya2_1.mp3] [i̯ɑ] EOF [sound:ya2_2.mp3] [i̯ɑ] EOF [sound:ya2_3.mp3] [i̯ɑ] EOF [sound:ya2_4.mp3] [i̯ɑ] EOF [sound:ya2_5.mp3] [i̯ɑ] EOF [sound:ya2_6.mp3] [i̯ɑ] EOF [sound:ya2_7.wav] [i̯ɑ]
ya3;[i̯ɑ];;[sound:ya3_1.mp3] [i̯ɑ] EOF [sound:ya3_2.mp3] [i̯ɑ] EOF [sound:ya3_3.mp3] [i̯ɑ] EOF [sound:ya3_4.mp3] [i̯ɑ] EOF [sound:ya3_5.mp3] [i̯ɑ] EOF [sound:ya3_6.mp3] [i̯ɑ] EOF [sound:ya3_7.wav] [i̯ɑ]
ya4;[i̯ɑ];;[sound:ya4_1.mp3] [i̯ɑ] EOF [sound:ya4_2.mp3] [i̯ɑ] EOF [sound:ya4_3.mp3] [i̯ɑ] EOF [sound:ya4_4.mp3] [i̯ɑ] EOF [sound:ya4_5.mp3] [i̯ɑ] EOF [sound:ya4_6.mp3] [i̯ɑ] EOF [sound:ya4_7.wav] [i̯ɑ]
yao1;[i̯ɑʊ̯];;[sound:yao1_1.mp3] [i̯ɑʊ̯] EOF [sound:yao1_2.mp3] [i̯ɑʊ̯] EOF [sound:yao1_3.mp3] [i̯ɑʊ̯] EOF [sound:yao1_4.mp3] [i̯ɑʊ̯] EOF [sound:yao1_5.mp3] [i̯ɑʊ̯] EOF [sound:yao1_6.mp3] [i̯ɑʊ̯] EOF [sound:yao1_7.wav] [i̯ɑʊ̯]
yao2;[i̯ɑʊ̯];;[sound:yao2_1.mp3] [i̯ɑʊ̯] EOF [sound:yao2_2.mp3] [i̯ɑʊ̯] EOF [sound:yao2_3.mp3] [i̯ɑʊ̯] EOF [sound:yao2_4.mp3] [i̯ɑʊ̯] EOF [sound:yao2_5.mp3] [i̯ɑʊ̯] EOF [sound:yao2_6.mp3] [i̯ɑʊ̯] EOF [sound:yao2_7.wav] [i̯ɑʊ̯]
yao3;[i̯ɑʊ̯];;[sound:yao3_1.mp3] [i̯ɑʊ̯] EOF [sound:yao3_2.mp3] [i̯ɑʊ̯] EOF [sound:yao3_3.mp3] [i̯ɑʊ̯] EOF [sound:yao3_4.mp3] [i̯ɑʊ̯] EOF [sound:yao3_5.mp3] [i̯ɑʊ̯] EOF [sound:yao3_6.mp3] [i̯ɑʊ̯] EOF [sound:yao3_7.wav] [i̯ɑʊ̯]
yao4;[i̯ɑʊ̯];;[sound:yao4_1.mp3] [i̯ɑʊ̯] EOF [sound:yao4_2.mp3] [i̯ɑʊ̯] EOF [sound:yao4_3.mp3] [i̯ɑʊ̯] EOF [sound:yao4_4.mp3] [i̯ɑʊ̯] EOF [sound:yao4_5.mp3] [i̯ɑʊ̯] EOF [sound:yao4_6.mp3] [i̯ɑʊ̯] EOF [sound:yao4_7.wav] [i̯ɑʊ̯]
ye1;[iɛ];;[sound:ye1_1.mp3] [iɛ] EOF [sound:ye1_2.mp3] [iɛ] EOF [sound:ye1_3.mp3] [iɛ] EOF [sound:ye1_4.mp3] [iɛ] EOF [sound:ye1_5.mp3] [iɛ] EOF [sound:ye1_6.mp3] [iɛ] EOF [sound:ye1_7.wav] [iɛ]
ye2;[iɛ];;[sound:ye2_1.mp3] [iɛ] EOF [sound:ye2_2.mp3] [iɛ] EOF [sound:ye2_3.mp3] [iɛ] EOF [sound:ye2_4.mp3] [iɛ] EOF [sound:ye2_5.mp3] [iɛ] EOF [sound:ye2_6.mp3] [iɛ] EOF [sound:ye2_7.wav] [iɛ]
ye3;[iɛ];;[sound:ye3_1.mp3] [iɛ] EOF [sound:ye3_2.mp3] [iɛ] EOF [sound:ye3_3.mp3] [iɛ] EOF [sound:ye3_4.mp3] [iɛ] EOF [sound:ye3_5.mp3] [iɛ] EOF [sound:ye3_6.mp3] [iɛ] EOF [sound:ye3_7.wav] [iɛ]
ye4;[iɛ];;[sound:ye4_1.mp3] [iɛ] EOF [sound:ye4_2.mp3] [iɛ] EOF [sound:ye4_3.mp3] [iɛ] EOF [sound:ye4_4.mp3] [iɛ] EOF [sound:ye4_5.mp3] [iɛ] EOF [sound:ye4_6.mp3] [iɛ] EOF [sound:ye4_7.wav] [iɛ]
yo1;[iʊ̯];;[sound:yo1_4.mp3] [iʊ̯] EOF [sound:yo1_5.mp3] [iʊ̯]
you1;[i̯ɤʊ̯];;[sound:you1_1.mp3] [i̯ɤʊ̯] EOF [sound:you1_2.mp3] [i̯ɤʊ̯] EOF [sound:you1_3.mp3] [i̯ɤʊ̯] EOF [sound:you1_4.mp3] [i̯ɤʊ̯] EOF [sound:you1_5.mp3] [i̯ɤʊ̯] EOF [sound:you1_6.mp3] [i̯ɤʊ̯] EOF [sound:you1_7.wav] [i̯ɤʊ̯]
